prompt,seed,slg_0.0_cfg_0.0,slg_1.0_cfg_0.0,slg_2.0_cfg_0.0,slg_3.0_cfg_0.0,slg_0.0_cfg_1.5,slg_1.0_cfg_1.5,slg_2.0_cfg_1.5,slg_3.0_cfg_1.5,slg_0.0_cfg_3.0,slg_1.0_cfg_3.0,slg_2.0_cfg_3.0,slg_3.0_cfg_3.0,slg_0.0_cfg_4.5,slg_1.0_cfg_4.5,slg_2.0_cfg_4.5,slg_3.0_cfg_4.5,slg_0.0_cfg_6.0,slg_1.0_cfg_6.0,slg_2.0_cfg_6.0,slg_3.0_cfg_6.0
A cat pirate captain,seed_0,0.19672131147540983,0.19672131147540983,0.06451612903225806,0.25925925925925924,0.2564102564102564,0.2564102564102564,0.19230769230769232,0.2962962962962963,0.2978723404255319,0.2978723404255319,0.3389830508474576,0.2608695652173913,0.2647058823529412,0.2647058823529412,0.20689655172413793,0.2898550724637681,0.23255813953488372,0.23255813953488372,0.32786885245901637,0.1724137931034483
A cat pirate captain,seed_1,0.19230769230769232,0.19230769230769232,0.29411764705882354,0.21428571428571427,0.3076923076923077,0.3076923076923077,0.18947368421052632,0.18421052631578946,0.2028985507246377,0.2028985507246377,0.18181818181818182,0.19230769230769232,0.18181818181818182,0.18181818181818182,0.30303030303030304,0.14285714285714285,0.3384615384615385,0.3384615384615385,0.1694915254237288,0.17142857142857143
A cat pirate captain,seed_2,0.2857142857142857,0.2857142857142857,0.34782608695652173,0.14285714285714285,0.05405405405405406,0.05405405405405406,0.28,0.16666666666666666,0.2033898305084746,0.2033898305084746,0.2857142857142857,0.2571428571428571,0.4,0.4,0.18461538461538463,0.20588235294117646,0.2222222222222222,0.2222222222222222,0.19444444444444445,0.25396825396825395
A raccoon mechanic w,seed_1,0.1891891891891892,0.1891891891891892,0.1553398058252427,0.23728813559322035,0.2777777777777778,0.2777777777777778,0.3076923076923077,0.37735849056603776,0.24096385542168675,0.24096385542168675,0.125,0.16216216216216217,0.10810810810810811,0.10810810810810811,0.1839080459770115,0.29850746268656714,0.12121212121212122,0.12121212121212122,0.1346153846153846,0.14
A raccoon mechanic w,seed_2,0.24242424242424243,0.24242424242424243,0.20224719101123595,0.15841584158415842,0.21739130434782608,0.21739130434782608,0.2247191011235955,0.25287356321839083,0.23809523809523808,0.23809523809523808,0.18181818181818182,0.32142857142857145,0.16091954022988506,0.16091954022988506,0.1927710843373494,0.15384615384615385,0.273972602739726,0.273972602739726,0.14814814814814814,0.23076923076923078
A raccoon mechanic w,seed_0,0.25,0.25,0.23880597014925373,0.06741573033707865,0.3,0.3,0.1276595744680851,0.2608695652173913,0.12121212121212122,0.12121212121212122,0.17647058823529413,0.21153846153846154,0.13157894736842105,0.13157894736842105,0.12727272727272726,0.21176470588235294,0.09278350515463918,0.09278350515463918,0.22988505747126436,0.1782178217821782
A raccoon mechanic w,seed_3,0.09230769230769231,0.09230769230769231,0.2033898305084746,0.19607843137254902,0.2,0.2,0.2222222222222222,0.1590909090909091,0.17721518987341772,0.17721518987341772,0.2222222222222222,0.2413793103448276,0.2553191489361702,0.2553191489361702,0.11594202898550725,0.09803921568627451,0.09411764705882353,0.09411764705882353,0.08633093525179857,0.13333333333333333
A raccoon mechanic w,seed_4,0.21686746987951808,0.21686746987951808,0.24,0.19444444444444445,0.18604651162790697,0.18604651162790697,0.1875,0.23076923076923078,0.175,0.175,0.22641509433962265,0.28205128205128205,0.18666666666666668,0.18666666666666668,0.2077922077922078,0.3333333333333333,0.22857142857142856,0.22857142857142856,0.1794871794871795,0.23076923076923078
An enchanted vending,seed_0,0.07920792079207921,0.07920792079207921,0.175,0.05333333333333334,0.23809523809523808,0.23809523809523808,0.21621621621621623,0.21951219512195122,0.13675213675213677,0.13675213675213677,0.08433734939759036,0.16129032258064516,0.12389380530973451,0.12389380530973451,0.21951219512195122,0.19607843137254902,0.14545454545454545,0.14545454545454545,0.24096385542168675,0.1927710843373494
An enchanted vending,seed_3,0.1686746987951807,0.1686746987951807,0.11428571428571428,0.20930232558139536,0.16470588235294117,0.16470588235294117,0.22784810126582278,0.3333333333333333,0.1590909090909091,0.1590909090909091,0.16470588235294117,0.12698412698412698,0.1694915254237288,0.1694915254237288,0.16279069767441862,0.17307692307692307,0.24242424242424243,0.24242424242424243,0.15,0.192
An enchanted vending,seed_4,0.1568627450980392,0.1568627450980392,0.20833333333333334,0.17073170731707318,0.11510791366906475,0.11510791366906475,0.10434782608695652,0.23655913978494625,0.15748031496062992,0.15748031496062992,0.09032258064516129,0.11678832116788321,0.08695652173913043,0.08695652173913043,0.16923076923076924,0.18018018018018017,0.12612612612612611,0.12612612612612611,0.16058394160583941,0.11764705882352941
An enchanted vending,seed_1,0.14953271028037382,0.14953271028037382,0.13592233009708737,0.23076923076923078,0.21875,0.21875,0.2153846153846154,0.14285714285714285,0.14201183431952663,0.14201183431952663,0.22429906542056074,0.14516129032258066,0.3333333333333333,0.3333333333333333,0.11904761904761904,0.1702127659574468,0.1565217391304348,0.1565217391304348,0.1566265060240964,0.16455696202531644
