Mode,Average_Score
layer_6,6.656148796081543
layer_1,6.263365516662597
layer_8,6.671842138767243
layer_18,6.682445080280304
layer_16,6.648438966274261
layer_11,6.659902632236481
layer_9,6.665864701271057
layer_0,6.548916277885437
layer_7,6.6226945495605465
layer_10,6.701863355636597
layer_17,6.649245119094848
layer_14,6.764096689224243
layer_13,6.761491844654083
layer_4,6.66156114578247
layer_3,6.602149896621704
layer_12,6.731399571895599
layer_15,6.792924151420594
layer_2,5.983620116710663
layer_5,6.65208149433136
cfg,6.758579046726227
