prompt,layer_14,layer_13,layer_2,layer_5,layer_4,layer_3,layer_12,cfg,layer_15,layer_9,layer_0,layer_7,layer_18,layer_16,layer_11,layer_10,layer_17,layer_6,layer_1,layer_8
prompt_81,0.9729295074939728,0.9805358350276947,0.0,0.9867812693119049,0.9835181832313538,0.9603493809700012,0.993855357170105,0.8540668785572052,0.778822511434555,0.9828725457191467,0.0,0.9767340421676636,0.9328725934028625,0.9899863600730896,0.9833808541297913,0.9869564175605774,0.0,0.9778944253921509,0.0,0.9853475987911224
prompt_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7750971019268036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_65,0.9161543250083923,0.9547255039215088,0.9928163886070251,0.960659384727478,0.9525355696678162,0.9899539947509766,0.9496686458587646,0.9293704628944397,0.9664354920387268,0.9715552926063538,0.0,0.9385055303573608,0.9531164765357971,0.9429562091827393,0.9470322728157043,0.8473764657974243,0.0,0.0,0.0,0.9103004336357117
prompt_12,0.9957461953163147,0.0,0.0,0.989038348197937,0.9600504040718079,0.9988970160484314,0.9658007621765137,0.9823859333992004,0.9855282008647919,0.9916156828403473,0.0,0.0,0.9020071029663086,0.9817065894603729,0.9980683326721191,0.9644193053245544,0.9728208780288696,0.9978514909744263,0.0,0.0
prompt_20,0.9980094730854034,0.9976735711097717,0.9952910542488098,0.9977307319641113,0.9957333207130432,0.9959203898906708,0.9967542588710785,0.9970632195472717,0.9974624812602997,0.9987076818943024,0.9885481595993042,0.9958636462688446,0.9988769590854645,0.9970439672470093,0.9994375705718994,0.9953420460224152,0.9953138530254364,0.9988155961036682,0.0,0.9965417087078094
prompt_57,0.9788943529129028,0.0,0.9328529834747314,0.9820624589920044,0.0,0.0,0.7012667655944824,0.0,0.0,0.660246729850769,0.0,0.0,0.9774000644683838,0.0,0.0,0.0,0.9145772457122803,0.0,0.0,0.9614191055297852
prompt_76,0.9987019300460815,0.9916421175003052,0.0,0.9979605674743652,0.9945983588695526,0.9992870688438416,0.9972355961799622,0.9977743625640869,0.9981697499752045,0.996606171131134,0.0,0.8967271745204926,0.9957963824272156,0.9987259209156036,0.9967160820960999,0.9909480214118958,0.9931684732437134,0.9951826930046082,0.0,0.9987571835517883
prompt_98,0.0,0.0,0.9986164569854736,0.9950240254402161,0.9816275238990784,0.9978313446044922,0.9940306544303894,0.0,0.9966392517089844,0.9869936108589172,0.0,0.0,0.9966424107551575,0.9935439825057983,0.99507737159729,0.9956315159797668,0.9629750847816467,0.9926444292068481,0.0,0.9923740029335022
prompt_92,0.9948248863220215,0.9965353310108185,0.0,0.9792407155036926,0.9945401251316071,0.994188666343689,0.9953267276287079,0.9903548657894135,0.99458247423172,0.9954003989696503,0.0,0.9927308559417725,0.9691260159015656,0.9954573512077332,0.9891389608383179,0.9927048087120056,0.9939714074134827,0.9966962933540344,0.0,0.0
prompt_33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
