Mode,Average_Score
layer_25,6.923933515548706
layer_22,6.647934103012085
layer_4,6.6723420476913455
layer_3,6.487499141693116
layer_19,6.7456732797622685
layer_17,6.712945017814636
layer_10,6.70799111366272
cfg,6.767308502197266
layer_11,6.730054273605346
layer_16,6.723295540809631
layer_18,6.544342098236084
layer_2,2.9061078453063964
layer_5,6.7704767227172855
layer_23,6.568255858421326
layer_24,6.750748844146728
layer_15,6.709313330650329
layer_12,6.675929465293884
layer_6,6.552483057975769
layer_1,4.311221321821213
layer_27,2.8696294617652893
layer_8,6.713384294509888
layer_20,6.77385561466217
layer_9,6.7925839471817016
layer_21,6.6585471630096436
layer_26,3.7566022992134096
layer_0,4.707231947183609
layer_7,6.73551709651947
layer_13,6.70362419128418
layer_14,6.727148537635803
