prompt,layer_8,layer_6,layer_1,layer_20,layer_27,layer_12,layer_15,layer_0,layer_7,layer_9,layer_14,layer_13,layer_26,layer_21,layer_19,layer_10,layer_17,layer_22,layer_25,layer_4,layer_3,cfg,layer_24,layer_23,layer_16,layer_11,layer_18,layer_2,layer_5
prompt_4,0.0,0.0,0.9792659282684326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6971971988677979,0.0,0.0,0.0,0.9267873167991638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9254986643791199,0.0,0.0,0.0,0.0,0.0
prompt_71,0.9929298162460327,0.9980136156082153,0.9897562265396118,0.9988335371017456,0.0,0.9960540533065796,0.9859202206134796,0.8970139622688293,0.9948590993881226,0.9933518171310425,0.9983528256416321,0.997519850730896,0.0,0.9929765164852142,0.9946457743644714,0.9969059824943542,0.9938516020774841,0.9932312071323395,0.0,0.9975331425666809,0.9974169135093689,0.9959784150123596,0.991840273141861,0.9856944382190704,0.989503800868988,0.9890340566635132,0.9946900308132172,0.0,0.7935739159584045
prompt_49,0.9243072271347046,0.0,0.8932023048400879,0.0,0.0,0.9752227663993835,0.0,0.7839135527610779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9460906982421875,0.0,0.0,0.8694480061531067,0.0,0.9728069305419922,0.0,0.0,0.0
prompt_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9843527674674988,0.9840388298034668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5658406019210815,0.0,0.0
prompt_43,0.7404935359954834,0.0,0.9225799441337585,0.0,0.0,0.8019592761993408,0.0,0.0,0.0,0.0,0.0,0.8715451657772064,0.0,0.0,0.0,0.9456295967102051,0.8664378523826599,0.7177643179893494,0.0,0.5637025833129883,0.8815581798553467,0.0,0.0,0.9778223633766174,0.0,0.734013020992279,0.8094450235366821,0.0,0.5422731637954712
prompt_62,0.0,0.0,0.9766154885292053,0.0,0.0,0.0,0.0,0.5638458728790283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977409243583679,0.0,0.0,0.0,0.0,0.0
prompt_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_86,0.0,0.0,0.0,0.0,0.0,0.0,0.953346848487854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9478107690811157,0.0,0.0,0.9668432176113129,0.0,0.0
prompt_68,0.0,0.0,0.9561806321144104,0.8259932398796082,0.0,0.0,0.777275562286377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9699953198432922,0.0,0.0,0.0,0.8315544724464417,0.0,0.0,0.0,0.0,0.0
prompt_27,0.0,0.0,0.0,0.0,0.0,0.0,0.858120322227478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_57,0.9969923794269562,0.9966111779212952,0.0,0.9976831674575806,0.0,0.9810133278369904,0.9968926310539246,0.0,0.9935758113861084,0.9925883412361145,0.9889262616634369,0.9945418238639832,0.0,0.9926511347293854,0.9974150061607361,0.9952690005302429,0.9936452507972717,0.997451901435852,0.9912311136722565,0.992590457201004,0.9942132830619812,0.9971285462379456,0.9898967742919922,0.9988144636154175,0.9942458271980286,0.9883584678173065,0.9960005283355713,0.0,0.9975002110004425
prompt_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_12,0.9540168642997742,0.0,0.0,0.9968604445457458,0.0,0.9996380805969238,0.9818170070648193,0.0,0.6237989664077759,0.8897607922554016,0.9973728060722351,0.0,0.0,0.6561535596847534,0.9912480115890503,0.0,0.9961045980453491,0.988046407699585,0.0,0.0,0.0,0.9991054534912109,0.9663292169570923,0.9989752769470215,0.0,0.5775557160377502,0.0,0.0,0.0
prompt_65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_18,0.8929257988929749,0.6298587322235107,0.9833357334136963,0.9092890024185181,0.0,0.9724247455596924,0.9675764441490173,0.9811409115791321,0.9750654101371765,0.9538604021072388,0.7001690864562988,0.8880329728126526,0.0,0.9645304679870605,0.8359162211418152,0.8755567073822021,0.948358416557312,0.9809733629226685,0.0,0.0,0.5100837349891663,0.9698715806007385,0.5095075964927673,0.5898522138595581,0.0,0.7469823360443115,0.6454052329063416,0.9720681309700012,0.9472492337226868
prompt_81,0.0,0.0,0.8599525690078735,0.0,0.0,0.0,0.9737029671669006,0.5935260057449341,0.0,0.0,0.0,0.9804154634475708,0.0,0.9834817051887512,0.0,0.0,0.0,0.0,0.0,0.9535762667655945,0.8762394189834595,0.0,0.0,0.9815965294837952,0.0,0.0,0.9923189878463745,0.0,0.0
prompt_39,0.0,0.0,0.9072055816650391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_44,0.0,0.0,0.0,0.8157978057861328,0.0,0.0,0.0,0.0,0.0,0.5193285942077637,0.0,0.9770690202713013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9866929054260254,0.5760974884033203,0.0,0.0,0.9451013207435608,0.0,0.0,0.0,0.0
prompt_33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8412846326828003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_92,0.9102157354354858,0.0,0.9898906946182251,0.9546378254890442,0.0,0.7783307433128357,0.0,0.9766327738761902,0.0,0.0,0.0,0.9199350476264954,0.0,0.0,0.0,0.0,0.0,0.9823572635650635,0.0,0.0,0.0,0.0,0.9557363986968994,0.9718412160873413,0.0,0.9592452049255371,0.9585376381874084,0.0,0.0
prompt_98,0.9916926026344299,0.9955510497093201,0.0,0.9672804474830627,0.0,0.0,0.8725103139877319,0.0,0.9242511987686157,0.9903542995452881,0.0,0.0,0.0,0.9960029721260071,0.0,0.9748218655586243,0.9074333310127258,0.9981561303138733,0.0,0.9912967085838318,0.9966049790382385,0.9924514293670654,0.9897851943969727,0.9957800507545471,0.9910848736763,0.9246675968170166,0.8889262080192566,0.0,0.9534183740615845
prompt_76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6727831363677979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_3,0.6670691967010498,0.963371217250824,0.0,0.7710915207862854,0.0,0.6306340098381042,0.8951812386512756,0.9951820373535156,0.8642448782920837,0.9386366605758667,0.5775301456451416,0.9270354509353638,0.0,0.8188384771347046,0.6877511739730835,0.775505006313324,0.895476222038269,0.918854296207428,0.0,0.6283319592475891,0.9952312707901001,0.7480869889259338,0.841219961643219,0.8720632791519165,0.9239249229431152,0.7874890565872192,0.6111164689064026,0.0,0.8677985668182373
prompt_9,0.9982287883758545,0.0,0.9513713717460632,0.9796515703201294,0.0,0.995567262172699,0.0,0.0,0.9986342191696167,0.9967491626739502,0.0,0.0,0.0,0.0,0.0,0.9961308836936951,0.0,0.0,0.0,0.9914920330047607,0.5344392657279968,0.9912866950035095,0.0,0.0,0.0,0.995699405670166,0.9870655536651611,0.0,0.0
prompt_72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_78,0.0,0.0,0.6667876243591309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962451457977295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_37,0.932212233543396,0.0,0.0,0.0,0.0,0.9200096726417542,0.0,0.0,0.9956010580062866,0.0,0.8513733148574829,0.9992991089820862,0.0,0.9945854544639587,0.0,0.0,0.0,0.9877278804779053,0.0,0.0,0.876709908246994,0.0,0.0,0.9939322769641876,0.6806432008743286,0.9213423728942871,0.0,0.0,0.0
prompt_85,0.9057700335979462,0.0,0.8756097555160522,0.9859848022460938,0.0,0.7324165105819702,0.9730191230773926,0.0,0.991093099117279,0.8901733160018921,0.0,0.7399354875087738,0.0,0.9357179701328278,0.0,0.9785190522670746,0.9790751338005066,0.9976518750190735,0.0,0.9892642498016357,0.9933109283447266,0.0,0.9899734854698181,0.9995336532592773,0.9883013963699341,0.0,0.9911206364631653,0.0,0.9423686861991882
prompt_16,0.9684829115867615,0.9977605938911438,0.7857471704483032,0.0,0.0,0.9902862906455994,0.9879559874534607,0.8650010526180267,0.9899134635925293,0.9873596429824829,0.9890164732933044,0.0,0.0,0.9944121837615967,0.0,0.9626376628875732,0.0,0.9703972339630127,0.0,0.9624775648117065,0.0,0.0,0.9895564317703247,0.9903539419174194,0.9926374554634094,0.9799582958221436,0.0,0.0,0.9921503067016602
prompt_61,0.9519619941711426,0.840955913066864,0.9171248078346252,0.8558178544044495,0.0,0.9871149063110352,0.9448003172874451,0.6204067468643188,0.0,0.0,0.9869706630706787,0.989116907119751,0.0,0.9547904133796692,0.9710518717765808,0.978005051612854,0.9617463946342468,0.0,0.0,0.684368371963501,0.9236990213394165,0.9829431772232056,0.9834542274475098,0.9021839499473572,0.9354752898216248,0.9394034147262573,0.9810032844543457,0.0,0.978602409362793
prompt_59,0.9745786190032959,0.9917040467262268,0.0,0.0,0.0,0.97507643699646,0.9966751337051392,0.0,0.0,0.9897361397743225,0.8159505128860474,0.9222108721733093,0.0,0.0,0.9825074076652527,0.995097815990448,0.0,0.9887587428092957,0.0,0.9841492176055908,0.9024890661239624,0.0,0.0,0.0,0.0,0.986830472946167,0.9094551801681519,0.0,0.7875231504440308
prompt_53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_24,0.0,0.0,0.8938276171684265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230244159698486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_29,0.9373707175254822,0.9888041615486145,0.0,0.9901629686355591,0.0,0.9770669639110565,0.9971204102039337,0.0,0.9938167333602905,0.0,0.0,0.9911180138587952,0.0,0.984359085559845,0.9933499991893768,0.994418203830719,0.9895352125167847,0.9896694421768188,0.0,0.9703487753868103,0.9971244931221008,0.9880475997924805,0.9401355683803558,0.9903578162193298,0.9905406832695007,0.7905874848365784,0.9652208089828491,0.0,0.9930673837661743
prompt_23,0.9840794801712036,0.9903935492038727,0.0,0.864499032497406,0.0,0.8859120309352875,0.9929659366607666,0.0,0.9754839241504669,0.9890893697738647,0.9567524492740631,0.9881448745727539,0.0,0.9817875623703003,0.9921524822711945,0.9883559942245483,0.9727912247180939,0.9836048781871796,0.9960519671440125,0.9868043959140778,0.986374169588089,0.9607214033603668,0.9926171004772186,0.9933150410652161,0.9171463251113892,0.8884634971618652,0.9866559207439423,0.0,0.9935323894023895
prompt_54,0.0,0.987535297870636,0.0,0.0,0.0,0.0,0.0,0.0,0.9828001260757446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9964392185211182,0.0,0.0,0.0,0.8540851473808289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9616107940673828
prompt_82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7227563261985779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_66,0.9905040860176086,0.0,0.0,0.9882416725158691,0.0,0.9662859439849854,0.9832920730113983,0.0,0.9782483279705048,0.9470218420028687,0.9920797944068909,0.9945950210094452,0.0,0.989626407623291,0.982434093952179,0.9590460658073425,0.0,0.0,0.0,0.8509243130683899,0.8080490529537201,0.9912650883197784,0.98440220952034,0.9716135263442993,0.9907188713550568,0.9987598061561584,0.9902333915233612,0.0,0.9861040711402893
prompt_11,0.8681001663208008,0.9888677000999451,0.969651997089386,0.0,0.0,0.9099953174591064,0.0,0.0,0.0,0.920731246471405,0.9827308654785156,0.9546543955802917,0.0,0.0,0.0,0.9769089818000793,0.0,0.7670243978500366,0.0,0.9823293089866638,0.8660455942153931,0.0,0.9505528211593628,0.0,0.0,0.9888811111450195,0.0,0.0,0.866065502166748
