prompt,layer_10,layer_17,layer_19,layer_6,layer_1,layer_22,layer_8,cfg,layer_9,layer_23,layer_0,layer_7,layer_18,layer_16,layer_11,layer_20,layer_4,layer_3,layer_12,layer_15,layer_14,layer_13,layer_2,layer_5,layer_21
prompt_2,0.9993607401847839,0.99358731508255,0.9753113985061646,0.6799524426460266,0.9589508175849915,0.0,0.9638605415821075,0.8900620341300964,0.9866290986537933,0.0,0.972416341304779,0.0,0.9891121089458466,0.987191379070282,0.0,0.971765398979187,0.0,0.9956114292144775,0.9886960983276367,0.9987449049949646,0.0,0.9783660769462585,0.9820513725280762,0.9720184206962585,0.9954215288162231
prompt_91,0.0,0.0,0.0,0.9475793242454529,0.0,0.0,0.977807343006134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895115852355957,0.0,0.0,0.0,0.0,0.0,0.0,0.9768737554550171,0.0,0.0,0.0
prompt_75,0.9446566104888916,0.9386724829673767,0.0,0.5867658853530884,0.9470924139022827,0.0,0.7869951725006104,0.9475297927856445,0.8572124242782593,0.0,0.0,0.733026385307312,0.9329183101654053,0.9859916567802429,0.9766097664833069,0.9697732329368591,0.8716064095497131,0.0,0.8499810695648193,0.8946084976196289,0.0,0.0,0.9350770115852356,0.0,0.9870143532752991
prompt_8,0.9031106233596802,0.9959167242050171,0.990425169467926,0.9959983825683594,0.9774399101734161,0.0,0.9930248260498047,0.9958452582359314,0.9971691966056824,0.0,0.9693807065486908,0.9937906265258789,0.9926250576972961,0.9977266192436218,0.9981308579444885,0.0,0.996472179889679,0.9971795678138733,0.9993818402290344,0.9920905232429504,0.9853899478912354,0.9960958957672119,0.9788504242897034,0.9977373480796814,0.9955888390541077
prompt_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_47,0.9278001189231873,0.0,0.0,0.8827010989189148,0.8402392864227295,0.0,0.9765150547027588,0.9454445242881775,0.9456080794334412,0.0,0.5461061000823975,0.9131960868835449,0.9481514692306519,0.0,0.933647871017456,0.0,0.846211314201355,0.8359551429748535,0.8929396867752075,0.7074563503265381,0.8818262219429016,0.9587449431419373,0.9573639631271362,0.964165985584259,0.8525341749191284
prompt_88,0.9928297996520996,0.9801743030548096,0.9943273365497589,0.9965607821941376,0.9942548871040344,0.0,0.9960643947124481,0.9890320301055908,0.9912513196468353,0.9968701004981995,0.0,0.9947961866855621,0.0,0.9621407091617584,0.992412269115448,0.9954497218132019,0.9966023862361908,0.9918812215328217,0.9900273084640503,0.9950871467590332,0.9900513887405396,0.9883305430412292,0.9926949739456177,0.9962888956069946,0.9804168343544006
prompt_66,0.9016096591949463,0.0,0.907518208026886,0.0,0.9746691882610321,0.0,0.9946067333221436,0.8137723207473755,0.9330713748931885,0.0,0.5043208599090576,0.970055341720581,0.0,0.5564857721328735,0.9816470742225647,0.6504936218261719,0.538925051689148,0.0,0.8254729509353638,0.784491240978241,0.8869515657424927,0.9128216505050659,0.7787232398986816,0.9324345588684082,0.8117740154266357
prompt_11,0.8898163139820099,0.9902940392494202,0.92672199010849,0.9774129688739777,0.988944411277771,0.0,0.0,0.0,0.0,0.0,0.9900693297386169,0.9810481667518616,0.9622624516487122,0.9712473154067993,0.9381005764007568,0.8615087270736694,0.9845484793186188,0.9710076749324799,0.9935639500617981,0.7861164808273315,0.9884841442108154,0.9832961559295654,0.981621116399765,0.8654706478118896,0.9713580012321472
prompt_82,0.9872646927833557,0.9970759749412537,0.9640951454639435,0.9756204783916473,0.8436274826526642,0.0,0.99219611287117,0.996805727481842,0.9741883277893066,0.0,0.0,0.971828281879425,0.9898796677589417,0.9717725515365601,0.9844785630702972,0.9736689329147339,0.9971112310886383,0.9762094914913177,0.9876841902732849,0.9093049168586731,0.8831884562969208,0.7211294174194336,0.9207528829574585,0.9830469787120819,0.9901320934295654
prompt_23,0.8876644372940063,0.9320815801620483,0.9468769431114197,0.9196223020553589,0.9404414892196655,0.9576346278190613,0.78792405128479,0.9431906938552856,0.8756197094917297,0.986008882522583,0.0,0.9519952535629272,0.9438797831535339,0.8472921252250671,0.9452564120292664,0.8928695917129517,0.9470463991165161,0.9301788806915283,0.9702178835868835,0.9222097992897034,0.9054079651832581,0.9401075839996338,0.9565997123718262,0.9096645712852478,0.9147681593894958
prompt_54,0.9931289255619049,0.9986966252326965,0.9861591458320618,0.9927217960357666,0.9135982394218445,0.0,0.9770252406597137,0.9916030466556549,0.9880445003509521,0.0,0.9443331658840179,0.9921154379844666,0.9919604659080505,0.9900495707988739,0.9931553602218628,0.7832965850830078,0.9977501034736633,0.9902578592300415,0.9614636600017548,0.9857832789421082,0.975832998752594,0.964748740196228,0.9988413453102112,0.99422487616539,0.9680975675582886
prompt_29,0.0,0.0,0.0,0.9924288988113403,0.0,0.0,0.9842292666435242,0.0,0.9782382249832153,0.0,0.0,0.9899320602416992,0.9957528710365295,0.6024929881095886,0.9417965412139893,0.0,0.0,0.0,0.9382980465888977,0.9827984571456909,0.9535852074623108,0.0,0.9653822779655457,0.9635823965072632,0.0
prompt_53,0.985935628414154,0.9855599403381348,0.9885045289993286,0.9833164811134338,0.9727754592895508,0.0,0.9906384348869324,0.9696022272109985,0.9967462420463562,0.0,0.0,0.9670316576957703,0.9716132283210754,0.9845825433731079,0.8227049112319946,0.9944642186164856,0.9940111637115479,0.9921812415122986,0.996197521686554,0.9875808954238892,0.9953370094299316,0.9501955509185791,0.9768527746200562,0.9860260486602783,0.9918140769004822
prompt_24,0.8636884689331055,0.9713721871376038,0.8992447257041931,0.0,0.9599518775939941,0.9539174437522888,0.6820555925369263,0.8394111394882202,0.9198601245880127,0.0,0.9682645201683044,0.8640897870063782,0.9847626686096191,0.9337865114212036,0.9812040328979492,0.9125617742538452,0.9846698641777039,0.9115269780158997,0.0,0.6105638742446899,0.0,0.9765138030052185,0.8416106104850769,0.0,0.9301131367683411
prompt_59,0.0,0.0,0.0,0.998755156993866,0.0,0.0,0.0,0.0,0.9983751773834229,0.0,0.0,0.9996657371520996,0.0,0.0,0.9966787099838257,0.0,0.9992955923080444,0.0,0.9984963536262512,0.8571844696998596,0.0,0.9930236339569092,0.0,0.998328685760498,0.0
prompt_16,0.5385921001434326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.960015594959259,0.0,0.0,0.0,0.0,0.0,0.0,0.6096940636634827,0.0,0.0,0.0,0.0,0.0
prompt_61,0.9992033243179321,0.9813041090965271,0.9379812479019165,0.9875592589378357,0.0,0.9633761644363403,0.8838205933570862,0.978721559047699,0.8884668946266174,0.0,0.0,0.997074544429779,0.5923472046852112,0.9812645316123962,0.9227665662765503,0.9956781268119812,0.9825652837753296,0.0,0.9960548877716064,0.9710733890533447,0.9837958812713623,0.9952379465103149,0.975063294172287,0.8580187559127808,0.9611274003982544
prompt_85,0.9935275912284851,0.978538990020752,0.9853700399398804,0.991106390953064,0.9696478247642517,0.0,0.9970827698707581,0.9847724437713623,0.9769818782806396,0.0,0.9494689702987671,0.9919873476028442,0.9823138117790222,0.9846099615097046,0.9900525808334351,0.9926867485046387,0.9783514738082886,0.0,0.9627348184585571,0.9781126976013184,0.9897869229316711,0.9907168745994568,0.9934627413749695,0.9681175351142883,0.9976009130477905
prompt_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_37,0.9967082142829895,0.9988075792789459,0.9982465207576752,0.9967178106307983,0.995009571313858,0.996423065662384,0.9974741041660309,0.9964249730110168,0.9974555671215057,0.0,0.9946703612804413,0.9974789917469025,0.9983295798301697,0.9975561797618866,0.9971558153629303,0.9977620542049408,0.9971559047698975,0.9983935952186584,0.997888833284378,0.9974765181541443,0.9984050691127777,0.9967153072357178,0.9977704882621765,0.9981690347194672,0.9982098937034607
prompt_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_96,0.9971876740455627,0.996597170829773,0.8986093401908875,0.9837164282798767,0.675200343132019,0.0,0.9830827116966248,0.9796844124794006,0.9839707612991333,0.0,0.0,0.7495403289794922,0.9972392320632935,0.9946433305740356,0.9919677972793579,0.9385984539985657,0.9948518872261047,0.8900128602981567,0.8747422695159912,0.8628275394439697,0.938166618347168,0.9880371689796448,0.9955277442932129,0.977392315864563,0.996450662612915
prompt_78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_72,0.0,0.0,0.0,0.9450597167015076,0.84238600730896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8410244584083557,0.0,0.0,0.0,0.0,0.0,0.0,0.8581719994544983,0.0,0.0,0.0,0.9672043323516846,0.0
prompt_76,0.9845970273017883,0.9812337458133698,0.9619654715061188,0.985575258731842,0.9702340364456177,0.0,0.9836452603340149,0.9825929403305054,0.9846148788928986,0.0,0.0,0.9815931022167206,0.968663901090622,0.9576119780540466,0.9759643077850342,0.9769034683704376,0.9846424460411072,0.9799306094646454,0.9798930883407593,0.9746021330356598,0.9828552305698395,0.97425377368927,0.9806268215179443,0.9819316267967224,0.9835545420646667
prompt_98,0.0,0.0,0.0,0.6505914926528931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9894142746925354,0.0,0.0,0.0,0.0,0.9941424131393433,0.9501671195030212,0.0,0.0,0.9884852170944214,0.0,0.0
prompt_92,0.8868674635887146,0.0,0.0,0.9755813479423523,0.0,0.0,0.8108257055282593,0.0,0.96448814868927,0.0,0.0,0.9818418025970459,0.0,0.0,0.9578385949134827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967807948589325,0.9511556625366211,0.0
prompt_1,0.0,0.0,0.0,0.0,0.0,0.0,0.6145211458206177,0.0,0.0,0.0,0.0,0.0,0.8821605443954468,0.0,0.0,0.0,0.9359504580497742,0.0,0.0,0.0,0.0,0.0,0.9090056419372559,0.0,0.0
prompt_44,0.995377779006958,0.9973458051681519,0.9962243437767029,0.9975185990333557,0.9949010610580444,0.0,0.9972885847091675,0.9927412271499634,0.9946573972702026,0.0,0.9978575110435486,0.9957930445671082,0.9953120946884155,0.9962851405143738,0.995223343372345,0.9958793520927429,0.9949928522109985,0.9982786774635315,0.9970428347587585,0.9932981133460999,0.9991504549980164,0.9963421821594238,0.9934649467468262,0.9953219294548035,0.9920309782028198
prompt_33,0.9797714948654175,0.9879909455776215,0.9819749295711517,0.9894906282424927,0.9845113754272461,0.9514098167419434,0.9874264597892761,0.9672241508960724,0.9915728569030762,0.0,0.8628821969032288,0.8539589643478394,0.987760066986084,0.9167624413967133,0.9226256012916565,0.9342323541641235,0.9760262966156006,0.9844132661819458,0.9941235482692719,0.9908521771430969,0.9934650659561157,0.9935755133628845,0.991128534078598,0.9494093656539917,0.9758354425430298
