Mode,Average_Score
layer_14,6.108477766513825
layer_13,6.163041799068451
cfg,6.156238465309143
layer_8,6.280355644226074
layer_6,6.334480450153351
layer_1,6.158315496444702
layer_21,6.114766609668732
layer_0,5.234773869514465
layer_20,6.10213395357132
layer_7,6.282077815532684
layer_9,6.276582863330841
layer_12,6.219004781246185
layer_15,6.193613193035126
layer_4,6.210699610710144
layer_3,6.261256313323974
layer_23,5.955130350589752
layer_18,6.137699662446976
layer_16,6.100939909219742
layer_11,6.254302399158478
layer_10,6.235552206039428
layer_17,6.023324382305145
layer_19,6.208475418090821
layer_2,6.266536486148834
layer_22,5.910604796409607
layer_5,6.233849740028381
